Dataset,level,year,subjects,recordings,scoring,age range,age,% female,BMI,AHI (>=3% oxygen desaturation if not noted differently),ArI (arousals/h),PLM index (PLM/h),ESS,PHQ-8/PHQ-9,SF-36 (physical),SF-36 (mental),FSS (fatigue severity scale),MEQ (morningness-eveningness questionnaire),GAD-7 (general anxiety disorder questionnaire),FOSQ (Functional Outcomes of Sleep Questionnaire),ISI,PSQI,WHIIRS (Women's Health Initiative Insomnia Rating Scale),SSS,STOP-BANG,SAQLI (Calgary Sleep Apnea Quality of Life Index),Zung Self-Rating Depression Scale,PedsQL (Pediatric Quality of Life Inventory),BDI,TIB (min),TST  (min),SE (%),SOL (min),WASO (min),N1/S1 (%),N2/S2 (%),N3/(S3+S4) (%),REM (%),population,access,key reference,repo source
EESM17,1,2017,9,9,AASM,26-44,-,33.3,-,47.4±14.7,19.5±8.9,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,411.7±136.1,341.1±122.3,82.6±11.8,11.4±24.5,59.1±43.9,9.3±4.8,48.5±12.6,18.7±9.8,23.6±5.4,"normal, healthy population",public,10.1186/s12938-017-0400-5,10.18112/OPENNEURO.DS004348.V1.0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EESM19,1,2019,20,80,AASM*,23-36,25.9,65.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<=1,-,-,-,-,445.2±55.8,401.3±72.7,90.3±12.1,10.0±9.2,17.8±24.4,8.6±3.3,49.8±7.1,20.7±7.5,20.9±4.4,"normal, healthy population",public,10.1038/s41598-019-53115-3,10.18112/OPENNEURO.DS005185.V1.0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EESM23,1,2023,10,120,AASM*,22-35,27.4,40.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,431.0±74.3,374.4±73.8,86.9±10.8,14.6±17.3,21.2±18.7,9.3±3.6,52.0±4.6,17.2±5.9,21.6±5.8,"normal, healthy population",public,10.1038/s41597-025-04579-8,10.18112/OPENNEURO.DS005178.V1.0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDCSR,1,2000-2016,28,1906,R&K,20-34,-,53.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,459.4±174.4,193.6±216.3,41.4±42.2,210.4±237.1,43.1±99.9,19.4±30.0,44.3±18.2,15.6±12.3,20.7±11.8,Forced desynchrony on healthy adults,upon request,"10.1093/sleep/zsz032,10.1073/pnas.1706694115,10.1126/scitranslmed.3000458,10.1038/npp.2010.63 ",10.25822/CXJT-6585
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARTBEAT,1,2010-2012,318,591,-,45-76,63±7.3,26.4,34.4±6.3,25.1±8.4,-,-,8.9±3.6,4.9 pm 4.6,43.5 pm 9.7,50.7±11.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,high-cardiovascular-risk population,upon request,10.1056/NEJMoa1306766,10.25822/NJZH-DK37
baseline,2,2010-2012,318,317,-,45-76,63.0 pm 7.3,26.4,34.4±6.4,25.1±8.4,-,-,8.9±3.6,5.5±5.0,43.3±9.3,50.0 pm 11.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
followup,2,2010-2012,300,274,-,45-76,63.2 pm 7.3,-,34.3 pm 6.1,-,-,-,-,4.3 pm 4.1,43.8 pm 10.0,51.4 pm 10.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMC,1,2018,151,151,AASM,-,53.9±15.4,43.7,-,14.6±16.9,19.9±15.2,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,453.9±74.2,376.0±87.8,82.9±14.0,13.1±18.6,64.8±56.4,13.9±8.2,44.0±8.6,23.8±10.1,18.3±6.2,Clinical / heterogeneous: not a special-purpose cohort,public,10.1371/journal.pone.0256111,10.13026/T79Q-FR32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HomePAP,1,2008-2010,373,411,AASM*,-,46.5±11.9,36.7,37.2±8.9,27.1±27.7,-,-,14.1±3.7,-,45.5±9.8,47.4±11.2,-,-,-,16.2±3.0,-,-,-,-,-,4.0±1.0,-,-,-,459.5±69.0,338.7±71.0,74.1±13.9,40.4±39.5,80.5±53.9,15.8±12.1,52.1±13.3,13.4±9.7,18.7±8.3,high-probability OSA population: high neck circumference and ESS >=12,upon request,10.5665/sleep.1870,10.25822/XMWV-YZ91
home,2,2008-2010,,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
lab,2,2008-2010,,247,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,459.5±69.0,338.7±71.0,74.1±13.9,40.4±39.5,80.5±53.9,15.8±12.1,52.1±13.3,13.4±9.7,18.7±8.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISRUC,1,2009-2013,118,126,AASM,20-85,49.6±16.4,40.7,29.3±5.3*,14.6±14.5,16.9±9.1,6.2±20.8,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,-,443.8±30.7,349.8±67.5,78.8±14.1,17.8±20.6,69.5±45.6,17.4±8.0,40.4±10.0,25.6±10.2,16.6±6.9,Clinical & healthy patients,public,10.1016/j.cmpb.2015.10.013,https://sleeptight.isr.uc.pt/
Subgroup 1,2,,100,100,AASM,20-85,51,45.0,29.5±5.5*,15.8±15.1,16.9±9.6,7.2±23.1,,,,,,,,,,,,,,,,,,444.4±29.8,345.7±68.9,77.8±14.5,19.9±22.4,71.5±45.3,17.1±7.7,40.6±8.9,25.7±10.2,16.6±7.2,adults w/ evidence of sleep disorder (mostly apnea),,,
Subgroup 2,2,,8,16,AASM,26-79,46.9,25.0,29.4±5.7*,12.2±13.6,16.8±8.8,1.6±5.7,,,,,,,,,,,,,,,,,,441.1±31.5,372.7±69.1,84.2±13.6,7.5±4.7,57.4±48.2,19.2±10.3,41.3±16.5,22.3±10.8,17.3±6.5,patients with detected apnea,,,
